,book_id,Movie
533,4934,yes
534,10975,yes
535,1530539,yes
536,113441,yes
537,6369438,yes
538,49715,yes
539,45794,yes
540,280111,yes
541,682804,yes
542,12262741,yes
543,14748,yes
544,272895,yes
545,35159667,yes
546,204779,yes
547,9664177,yes
548,10592,yes
549,239919,yes
550,2390,yes
551,281433,yes
552,1138475,yes
553,6186357,yes
554,18478222,yes
555,18373,yes
556,248704,yes
557,119091,yes
558,12700353,yes
559,11166889,yes
560,13642,yes
561,96358,yes
562,54539,yes
563,33024,yes
564,29844228,yes
565,91357,yes
566,252577,yes
567,7173336,yes
568,3063499,yes
569,414895,yes
570,67935,yes
571,5064,yes
572,141421,yes
573,232965,yes
574,77767,yes
575,357664,yes
576,77449,yes
577,6952,yes
578,295086,yes
579,37526,yes
580,256683,yes
581,87819,yes
582,43815,yes
583,425123,yes
584,90411,yes
585,18395408,yes
586,14756,yes
587,8737,yes
588,13273621,yes
589,11486,yes
590,136782,yes
591,220968,yes
592,85987,yes
593,2211158,yes
594,5359,yes
595,35036409,yes
596,41193,yes
597,232576,yes
598,14864,yes
599,43933,yes
600,17187403,yes
601,30063453,yes
602,15034320,yes
603,46769,yes
604,8664353,yes
605,16031620,yes
606,99245,yes
607,156023,yes
608,281236,yes
609,4491321,yes
610,15823480,yes
611,37781,yes
612,1408850,yes
613,229123,yes
614,33555,yes
615,18006496,yes
616,6068818,yes
617,7613,yes
618,6411961,yes
619,16884,yes
620,359375,yes
621,256008,yes
622,218215,yes
623,57891,yes
624,4488657,yes
625,78433,yes
626,39662,yes
627,51496,yes
628,77770,yes
629,723456,yes
630,49628,yes
631,1067,yes
632,5960232,yes
633,73654,yes
634,378,yes
635,83346,yes
636,15749186,yes
637,10818853,yes
638,251446,yes
639,131359,yes
640,164542,yes
641,106264,yes
642,535856,yes
643,17061,yes
644,2429135,yes
645,16326,yes
646,7675,yes
647,3764,yes
648,47021,yes
649,497199,yes
650,606818,yes
651,890143,yes
652,8621462,yes
653,111831,yes
654,29488,yes
655,7247696,yes
656,17157,yes
657,46787,yes
658,35488,yes
659,47401,yes
660,7682,yes
661,244812,yes
662,9625004,yes
663,38296,yes
664,84981,yes
665,10572,yes
666,1510947,yes
667,21686,yes
668,1078,yes
669,9010,yes
670,34084,yes
671,147578,yes
672,4143,yes
673,1854354,yes
674,133486,yes
675,591354,yes
676,33917,yes
677,6327,yes
678,24583,yes
679,5453,yes
680,14758,yes
681,65474,yes
682,13316328,yes
683,166857,yes
684,313929,yes
685,352322,yes
686,35805,yes
687,168668,yes
688,16707,yes
689,7196542,yes
690,33609,yes
691,28405,yes
692,7882,yes
693,8282,yes
694,11961382,yes
695,15839985,yes
696,9912,yes
697,82436,yes
698,764350,yes
699,5349,yes
700,689855,yes
701,19288043,yes
702,97486,yes
703,1668267,yes
704,472800,yes
705,196388,yes
706,89717,yes
707,3980,yes
708,27712,yes
709,16532,yes
710,16122237,yes
711,193755,yes
712,7304203,yes
713,88389,yes
714,7260188,yes
715,8113940,yes
716,32542,yes
717,21704,yes
718,58696,yes
719,67035,yes
720,8680389,yes
721,35295478,yes
722,52357,yes
723,9328,yes
724,13912,yes
725,65470,yes
726,2156,yes
727,2052,yes
728,29617,yes
729,2519686,yes
730,16160448,yes
731,14891,yes
732,26348,yes
733,4684,yes
734,24703,yes
735,5129,yes
736,36164647,yes
737,32669,yes
738,126232,yes
739,7812659,yes
740,1728026,yes
741,33876808,yes
742,10222,yes
743,15781,yes
744,332282,yes
745,50667,yes
746,320407,yes
747,288973,yes
748,344262,yes
749,3388,yes
750,701937,yes
751,3698,yes
752,180617,yes
753,61264,yes
754,1875618,yes
755,1029279,yes
756,3760,yes
757,8127,yes
758,634464,yes
759,5659,yes
760,911892,yes
761,4900,yes
762,6080796,yes
763,288995,yes
764,9814682,yes
765,23529,yes
766,15930,yes
767,37190,yes
768,24036088,yes
769,12444298,yes
770,12252878,yes
771,1508568,yes
772,359786,yes
773,220362,yes
774,836610,yes
775,307791,yes
776,836608,yes
777,299947,yes
778,900379,yes
779,550821,yes
780,56759,yes
781,355697,yes
782,3369993,yes
783,8534354,yes
784,295,yes
785,6587879,yes
786,4922444,yes
787,18710190,yes
788,9712,yes
789,80660,yes
790,9416,yes
791,5297,yes
792,93,yes
793,43641,yes
794,4981,yes
795,23955,yes
796,514313,yes
797,9791,yes
798,5776,yes
799,1352032,yes
800,6339961,yes
801,6276276,yes
802,11554729,yes
803,483103,yes
804,359816,yes
805,15718332,yes
806,6442769,yes
807,83674,yes
808,104160,yes
809,221280,yes
810,10629,yes
811,186190,yes
812,96262,yes
813,13320212,yes
814,2717674,yes
815,10372,yes
816,5805,yes
817,16735,yes
818,6740522,yes
819,1953,yes
820,24784,yes
821,816720,yes
822,375802,yes
823,34532,yes
824,2419015,yes
825,64222,yes
826,16153564,yes
827,13083,yes
828,149238,yes
829,292740,yes
830,156171,yes
831,187060,yes
832,378579,yes
833,322351,yes
834,18765,yes
835,93728,yes
836,15925,yes
837,37426,yes
838,15752308,yes
839,152242,yes
840,17728,yes
841,24909,yes
842,7784,yes
843,3876,yes
844,23565008,yes
845,3463,yes
846,7092306,yes
847,98427,yes
848,18455,yes
849,8965,yes
850,13272928,yes
851,4214,yes
852,871284,yes
853,3272968,yes
854,788085,yes
855,20560137,yes
856,3077,yes
857,7937843,yes
858,1047338,yes
859,769658,yes
860,102030,yes
861,10412,yes
862,17212231,yes
863,5890,yes
864,10920,yes
865,92147,yes
866,14995,yes
867,682745,yes
868,43799,yes
869,114230,yes
870,6882,yes
871,73385,yes
872,12220,yes
873,113304,yes
874,11901,yes
875,477052,yes
876,5161,yes
877,227658,yes
878,3484906,yes
879,6149,yes
880,5935144,yes
881,10883,yes
882,11206,yes
883,271198,yes
884,8153,yes
885,11872688,yes
886,28921,yes
887,114145,yes
888,320197,yes
889,836606,yes
890,856937,yes
891,71865,yes
892,11084145,yes
893,3412,yes
894,31233,yes
895,16536,yes
896,3750,yes
897,16286,yes
898,6487308,yes
899,31338,yes
900,2978,yes
901,11566,yes
902,22175,yes
903,114345,yes
904,33,yes
905,13449728,yes
906,16096824,yes
907,14497,yes
908,62291,yes
909,3720975,yes
910,38418,yes
911,5357,yes
912,747746,yes
913,18912839,yes
914,834502,yes
915,70535,yes
916,187181,yes
917,322007,yes
918,29981,yes
919,607639,yes
920,156024,yes
921,55403,yes
922,974942,yes
923,672948,yes
924,50398,yes
925,103386,yes
926,13496,yes
927,161915,yes
928,10630620,yes
929,2050,yes
930,8073,yes
931,469065,yes
932,3008,yes
933,11607,yes
934,1000751,yes
935,3771126,yes
936,43049,yes
937,15769,yes
938,62953,yes
939,411167,yes
940,52529,yes
941,6665903,yes
942,8296,yes
943,11746513,yes
944,91203,yes
945,5739373,yes
946,183822,yes
947,36219542,yes
948,35384512,yes
949,2199,yes
950,13074,yes
951,43448,yes
952,443658,yes
953,11899,yes
954,17167166,yes
955,7746,yes
956,5526,yes
957,3118734,yes
958,59829,yes
959,333103,yes
960,17162,yes
961,43615,yes
962,107022,yes
963,12446825,yes
964,9915,yes
965,544891,yes
966,4588,yes
967,647,yes
968,1314332,yes
969,92364,yes
970,2261583,yes
971,122211,yes
972,58314,yes
973,6853,yes
974,21546135,yes
975,21671,yes
976,174465,yes
977,53835,yes
978,16054808,yes
979,12834198,yes
980,133497,yes
981,2152,yes
982,1301,yes
983,1750760,yes
984,107291,yes
985,7887539,yes
986,780581,yes
987,8400680,yes
988,24192,yes
989,20734410,yes
990,177193,yes
991,71823,yes
992,13448479,yes
993,29059,yes
994,10365,yes
995,61505,yes
996,258950,yes
997,140278,yes
998,73062,yes
999,1682248,yes
1000,223462,yes
1001,836609,yes
1002,164726,yes
1003,183199,yes
1004,786256,yes
1005,2815590,yes
1006,450836,yes
1007,114132,yes
1008,511684,yes
1009,30043,yes
1010,267243,yes
1011,31548,yes
1012,49006,yes
1013,253993,yes
1014,96642,yes
1015,853180,yes
1016,1159302,yes
1017,22557272,yes
1018,72159,yes
1019,35448330,yes
1020,6620596,yes
1021,1851459,yes
1022,51881,yes
1023,19063,yes
1024,158446,yes
1025,37380,yes
1026,7170627,yes
1027,38180,yes
1028,8248,yes
1029,10618,yes
1030,144974,yes
1031,37034,yes
1032,9592,yes
1033,186776,yes
1034,153492,yes
1035,8908,yes
1036,46906,yes
1037,34497,yes
1038,22328,yes
1039,7823678,yes
1040,900676,yes
1041,10433091,yes
1042,247369,yes
1043,27202367,yes
1044,475339,yes
1045,26309016,yes
1046,6304335,yes
1047,4838228,yes
1048,65471,yes
1049,113110,yes
1050,6999049,yes
1051,598117,yes
1052,769729,yes
1053,895185,yes
1054,3274499,yes
1055,228560,yes
1056,320,yes
1057,35334,yes
1058,5060378,yes
1059,124509,yes
1060,85207,yes
1061,10584,yes
1062,6319,yes
1063,29486,yes
1064,65497,yes
1065,111332,yes
1066,31072,yes
1067,41219,yes
1068,18646,yes
1069,2122,yes
1070,19469,yes
1071,1062375,yes
1072,11768,yes
1073,32682,yes
1074,34612332,yes
1075,16343,yes
1076,215950,yes
1077,10431822,yes
1078,1126109,yes
1079,207153,yes
1080,138269,yes
1081,15159,yes
1082,50014,yes
1083,11473506,yes
1084,33574273,yes
1085,61666,yes
1086,1622,yes
1087,906206,yes
1088,285092,yes
1089,61008,yes
1090,18388177,yes
1091,60792,yes
1092,5094,yes
1093,83144,yes
1094,43035,yes
1095,21727,yes
1096,2261584,yes
1097,63461,yes
1098,177194,yes
1099,7493,yes
1100,5729,yes
1101,46212,yes
1102,1237825,yes
1103,626339,yes
1104,5417,yes
1105,180066,yes
1106,6148028,yes
1107,608216,yes
1108,31331,yes
1109,2169506,yes
1110,7840,yes
1111,1420,yes
1112,3763,yes
1113,969275,yes
1114,767171,yes
1115,25354,yes
1116,219919,yes
1117,271244,yes
1118,3143383,yes
1119,11870085,yes
1120,288962,yes
1121,5355,yes
1122,17231,yes
1123,129947,yes
1124,152380,yes
1125,297627,yes
1126,907970,yes
1127,7968243,yes
1128,291894,yes
1129,40931542,yes
1130,10441,yes
1131,882936,yes
1132,3359940,yes
1133,7572,yes
1134,39664,yes
1135,101299,yes
1136,40190,yes
1137,12690450,yes
1138,35125,yes
1139,33118312,yes
1140,7672,yes
1141,22628,yes
1142,244813,yes
1143,40395,yes
1144,35519,yes
1145,1427,yes
1146,5043,yes
1147,30597,yes
1148,8728427,yes
1149,43931,yes
1150,297478,yes
1151,80616,yes
1152,668851,yes
1153,46908,yes
1154,18365395,yes
1155,11297,yes
1156,316496,yes
1157,270032,yes
1158,18254,yes
1159,147865,yes
1160,22896,yes
1161,12691,yes
1162,402013,yes
1163,13659,yes
1164,537257,yes
1165,835203,yes
1166,92508,yes
1167,8406114,yes
1168,51598,yes
1169,1381,yes
1170,49540,yes
1171,40189,yes
1172,551576,yes
1173,31507,yes
1174,7455,yes
1175,98542,yes
1176,18302455,yes
1177,9673436,yes
1178,5637738,yes
1179,181182,yes
1180,31126769,yes
1181,11735983,yes
1182,134958,yes
1183,273511,yes
1184,469571,yes
1185,7171856,yes
1186,35457273,yes
1187,1351174,yes
1188,14865,yes
1189,41804,yes
1190,5093,yes
1191,359821,yes
1192,79090,yes
1193,6334,yes
1194,1439798,yes
1195,762806,yes
1196,3478,yes
1197,29202269,yes
1198,6693,yes
1199,431939,yes
1200,251688,yes
1201,10956,yes
1202,4035,yes
1203,8909,yes
1204,19547856,yes
1205,5096,yes
1206,92780,yes
1207,2956,yes
1208,19691,yes
1209,21417641,yes
1210,68783,yes
1211,7108001,yes
1212,375013,yes
1213,315519,yes
1214,137559,yes
1215,43255,yes
1216,1824,yes
1217,145542,yes
1218,12444166,yes
1219,32424,yes
1220,7747374,yes
1221,969177,yes
1222,23280232,yes
1223,9969571,yes
1224,1370688,yes
1225,887014,yes
1226,10799,yes
1227,17846926,yes
1228,35458,yes
1229,790192,yes
1230,438492,yes
1231,25373,yes
1232,16243767,yes
1233,48974,yes
1234,46945,yes
1235,31250,yes
1236,10625,yes
1237,42603,yes
1238,1060562,yes
1239,10964,yes
1240,2277444,yes
1241,11590,yes
1242,12787,yes
1243,10050,yes
1244,13258,yes
1245,35152052,yes
1246,233820,yes
1247,1845,yes
1248,139668,yes
1249,42697,yes
1250,7745,yes
1251,152300,yes
1252,331920,yes
1253,35717446,yes
1254,93261,yes
1255,6819027,yes
1256,9460487,yes
1257,40656367,yes
1258,17413424,yes
1259,13152,yes
1260,132391,yes
1261,4902793,yes
1262,133399,yes
1263,1757027,yes
1264,17283481,yes
1265,397503,yes
1266,122,yes
1267,46911,yes
1268,7194,yes
1269,36743007,yes
1270,7172266,yes
1271,161345,yes
1272,406,yes
1273,14358,yes
1274,1371,yes
1275,32418,yes
1276,18943,yes
1277,46685,yes
1278,156222,yes
1279,263875,yes
1280,16179,yes
1281,657537,yes
1282,92517,yes
1283,5452,yes
1284,30681,yes
1285,31341,yes
1286,6259,yes
1287,119073,yes
1288,17214,yes
1289,13148,yes
1290,943402,yes
1291,68811,yes
1292,119290,yes
1293,843550,yes
1294,5295735,yes
1295,17934530,yes
1296,12126366,yes
1297,13486632,yes
1298,889284,yes
1299,1923820,yes
1300,304896,yes
1301,1111558,yes
1302,233667,yes
1303,59952,yes
1304,69025,yes
1305,9553334,yes
1306,54499,yes
1307,92227,yes
1308,22469,yes
1309,7714,yes
1310,70401,yes
1311,7673,yes
1312,991197,yes
1313,6613956,yes
1314,759559,yes
1315,1826053,yes
1316,332270,yes
1317,287395,yes
1318,836611,yes
1319,219362,yes
1320,32380,yes
1321,20835408,yes
1322,4271,yes
1323,1852,yes
1324,7670,yes
1325,4980,yes
1326,7913305,yes
1327,228345,yes
1328,348573,yes
1329,1220507,yes
1330,3757,yes
1331,449355,yes
1332,21726,yes
1333,1219954,yes
1334,38379,yes
1335,48328,yes
1336,723558,yes
1337,112750,yes
1338,45783,yes
1339,388223,yes
1340,32499,yes
1341,9439989,yes
1342,6047820,yes
1343,14201,yes
1344,219926,yes
1345,259836,yes
1346,6288,yes
1347,1842,yes
1348,7604,yes
1349,12994692,yes
1350,19802,yes
1351,160251,yes
1352,10628,yes
1353,32435,yes
1354,228194,yes
1355,13626185,yes
1356,12444297,yes
1357,367689,yes
1358,425029,yes
1359,3872,yes
1360,5308,yes
1361,162085,yes
1362,7147962,yes
1363,2493,yes
1364,11106458,yes
1365,38262,yes
1366,352262,yes
1367,420297,yes
1368,317282,yes
1369,2074521,yes
1370,2120932,yes
1371,13512931,yes
1372,9375,yes
1373,4687,yes
1374,65484,yes
1375,39094598,yes
1376,55749,yes
1377,16054957,yes
1378,5246,yes
1379,359770,yes
1380,7779,yes
1381,51944,yes
1382,122986,yes
1383,35145741,yes
1384,16059,yes
1385,15842439,yes
1386,33313,yes
1387,815854,yes
1388,1474563,yes
1389,116331,yes
1390,152662,yes
1391,781787,yes
1392,828084,yes
1393,1431,yes
1394,11737271,yes
1395,685788,yes
1396,236093,yes
1397,202292,yes
1398,368772,yes
1399,301082,yes
1400,106069,yes
1401,99664,yes
1402,10603,yes
1403,49851,yes
1404,668,yes
1405,57727,yes
1406,161503,yes
1407,24583,yes
1408,11448722,yes
1409,1169808,yes
1410,455373,yes
1411,1230853,yes
1412,359410,yes
1413,14758,yes
1414,8492825,yes
1415,407760,yes
1416,219601,yes
1417,308257,yes
1418,643860,yes
1419,4630,yes
1420,5956593,yes
1421,759960,yes
1422,35805,yes
1423,674113,yes
1424,392297,yes
1425,85989,yes
1426,781564,yes
1427,65497,yes
1428,686431,yes
1429,17383994,yes
1430,40051,yes
1431,84927,yes
1432,114936,yes
1433,41219,yes
1434,511614,yes
1435,30810128,yes
1436,36671351,yes
1437,581126,yes
1438,168668,yes
1439,16707,yes
1440,8697402,yes
1441,278958,yes
1442,17465574,yes
1443,1,yes
1444,625094,yes
1445,4406,yes
1446,116114,yes
1447,1062375,yes
1448,1809465,yes
1449,32682,yes
1450,9912,yes
1451,1812457,yes
1452,30324,yes
1453,207153,yes
1454,28369,yes
1455,5349,yes
1456,138269,yes
1457,80461,yes
1458,19288043,yes
1459,430156,yes
1460,67146,yes
1461,97486,yes
1462,12957,yes
1463,10582463,yes
1464,105576,yes
1465,462335,yes
1466,685,yes
1467,6365487,yes
1468,27712,yes
1469,2172211,yes
1470,836924,yes
1471,248483,yes
1472,24280,yes
1473,1158504,yes
1474,136081,yes
1475,7623135,yes
1476,3873353,yes
1477,576335,yes
1478,61666,yes
1479,193755,yes
1480,2866603,yes
1481,43889,yes
1482,152052,yes
1483,25387202,yes
1484,7260188,yes
1485,42512,yes
1486,16085481,yes
1487,256566,yes
1488,153875,yes
1489,588002,yes
1490,22583,yes
1491,4659,yes
1492,32542,yes
1493,60792,yes
1494,31259,yes
1495,43035,yes
1496,1125058,yes
1497,4504070,yes
1498,329096,yes
1499,215631,yes
1500,818108,yes
1501,36336078,yes
1502,29034,yes
1503,782171,yes
1504,21727,yes
1505,228327,yes
1506,18667749,yes
1507,46306,yes
1508,63461,yes
1509,46677,yes
1510,760702,yes
1511,9876989,yes
1512,3517626,yes
1513,177194,yes
1514,6505,yes
1515,1772910,yes
1516,139987,yes
1517,423125,yes
1518,973352,yes
1519,19486412,yes
1520,128066,yes
1521,37570461,yes
1522,6479835,yes
1523,543339,yes
1524,316845,yes
1525,52357,yes
1526,78900,yes
1527,1209527,yes
1528,99107,yes
1529,9328,yes
1530,13912,yes
1531,1331653,yes
1532,9275658,yes
1533,24213,yes
1534,2156,yes
1535,439288,yes
1536,386887,yes
1537,70241,yes
1538,12873,yes
1539,381417,yes
1540,2052,yes
1541,9520360,yes
1542,1088704,yes
1543,78960,yes
1544,1297137,yes
1545,879685,yes
1546,4806,yes
1547,73968,yes
1548,6440,yes
1549,119042,yes
1550,228296,yes
1551,119322,yes
1552,47304,yes
1553,725647,yes
1554,33876808,yes
1555,355618,yes
1556,893731,yes
1557,15781,yes
1558,182381,yes
1559,332282,yes
1560,112,yes
1561,484531,yes
1562,952048,yes
1563,10583,yes
1564,383206,yes
1565,3943773,yes
1566,123063,yes
1567,40465,yes
1568,269795,yes
1569,6148028,yes
1570,43780,yes
1571,7792264,yes
1572,395871,yes
1573,3388,yes
1574,592657,yes
1575,10769180,yes
1576,395922,yes
1577,180617,yes
1578,4671,yes
1579,61264,yes
1580,1941421,yes
1581,2235096,yes
1582,4667024,yes
1583,692763,yes
1584,164531,yes
1585,4374400,yes
1586,47970,yes
1587,31242,yes
1588,239437,yes
1589,581125,yes
1590,586472,yes
1591,764061,yes
1592,7124101,yes
1593,3763,yes
1594,7224310,yes
1595,3087,yes
1596,141328,yes
1597,288644,yes
1598,1542752,yes
1599,1717890,yes
1600,413618,yes
1601,12265899,yes
1602,3760,yes
1603,2708063,yes
1604,2657,yes
1605,3650101,yes
1606,18545,yes
1607,4900,yes
1608,17250,yes
1609,85587,yes
1610,489972,yes
1611,149785,yes
1612,1006596,yes
1613,1735330,yes
1614,630879,yes
1615,5168,yes
1616,8461468,yes
1617,35807,yes
1618,237364,yes
